Regne,Categorie,Nom_francais,Nom_latin,Presence_au_Quebec,Nom_anglais
Faune,Vers,Vers de terre européens (regroupe plusieurs espèces),,Établie,Earthworm
Faune,Vers,Ver plat à tête de marteau,Bipalium adventitium,Établie,Wandering broadhead planarian
Faune,Vers,Ver sauteur asiatique,Amynthas tokioensis,Observation ponctuelle,Asian jumping worm
Flore,Plantes aquatiques,Cabomba de Caroline,Cabomba caroliniana,Absente,Fanwort
Flore,Plantes aquatiques,Châtaigne d'eau,Trapa natans,Établie,Water chestnut
Flore,Plantes aquatiques,Élodée dense,Egeria densa,Absente,Brazilian waterweed
Flore,Plantes aquatiques,Faux-nymphéa pelté,Nymphoides peltata,Établie,Yellow floatingheart
Flore,Plantes aquatiques,Hydrille verticillée,Hydrilla verticillata,Absente,Hydrilla
Flore,Plantes aquatiques,Hydrocharide grenouillette,Hydrocharis morsus-ranae,Établie,European frog-bit
Flore,Plantes aquatiques,Jacinthe d'eau,Eichhornia crassipes,Observation ponctuelle,Water hyacinth
Flore,Plantes aquatiques,Laitue d'eau,Pistia stratiotes,Observation ponctuelle,Water lettuce
Flore,Plantes aquatiques,Myriophylle à épis,Myriophyllum spicatum,Établie,Eurasian water-milfoil
Flore,Plantes aquatiques,Myriophylle aquatique,Myriophyllum aquaticum,Absente,Parrot feather
Flore,Plantes aquatiques,Nitelle étoilée,Nitellopsis obtusa,Établie,Starry stonewort
Flore,Plantes aquatiques,Petite naïade,Najas minor,Établie,Brittle-leaved naid
Flore,Plantes aquatiques,Potamot crépu,Potamogeton crispus,Établie,Curly-leaved pondweed
Flore,Plantes aquatiques,Salvinie spp.,Salvinia spp.,Observation ponctuelle,Water moss
Flore,Plantes aquatiques,Stratiote faux-aloès,Stratiotes aloides,Établie,Water soldier
Flore,Plantes de milieux humides,Alpiste roseau,Phalaris arundinacea,Établie,Reed canary grass
Flore,Plantes de milieux humides,Butome à ombelle,Butomus umbellatus,Établie,Flowering-rush
Flore,Plantes de milieux humides,Glycérie aquatique,Glyceria maxima,Établie,Rough mannagrass
Flore,Plantes de milieux humides,Iris faux-acore,Iris pseudacorus,Établie,Yellow iris
Flore,Plantes de milieux humides,Rorippe amphibie,Rorippa amphibia,Établie,Amphibious yellowcress
Flore,Plantes de milieux humides,Roseau commun,Phragmites australis subsp. australis,Établie,Common reed
Flore,Plantes de milieux humides,Salicaire commune,Lythrum salicaria,Établie,Purple loosestrife
Flore,Plantes terrestres,Ailante glanduleux,Ailanthus altissima,Établie,Tree-of-heaven
Flore,Plantes terrestres,Alliaire officinale,Alliaria petiolata,Établie,Garlic mustard
Flore,Plantes terrestres,Anthrisque des bois,Anthriscus sylvestris,Établie,Wild chervil
Flore,Plantes terrestres,Aulne glutineux,Alnus glutinosa,Établie,European black alder
Flore,Plantes terrestres,Berce commune,Heracleum sphondylium,Établie,Meadow cow-parsnip
Flore,Plantes terrestres,Berce du Caucase,Heracleum mantegazzianum,Établie,Giant hogweed
Flore,Plantes terrestres,Célastre asiatique,Celastrus orbiculatus,Établie,Oriental bittersweet
Flore,Plantes terrestres,Chèvrefeuille de Maack,Lonicera maackii,Absente,Maack's honeysuckle
Flore,Plantes terrestres,Chèvrefeuille de Morrow,Lonicera morrowii,Établie,Morrow's honeysuckle
Flore,Plantes terrestres,Chèvrefeuille de Tartarie,Lonicera tatarica,Établie,Tatarian honeysuckle
Flore,Plantes terrestres,Chèvrefeuille joli,Lonicera xbella,Établie,Showy fly-honeysuckle
Flore,Plantes terrestres,Consoude officinale,Symphytum officinale,Établie,Common comfrey
Flore,Plantes terrestres,Dompte-venin de Russie,Vincetoxicum rossicum,Établie,European swallowwort
Flore,Plantes terrestres,Dompte-venin noir,Vincetoxicum nigrum,Établie,Black swallowwort
Flore,Plantes terrestres,Égopode podagraire,Aegopodium podagraria,Établie,Goutweed
Flore,Plantes terrestres,Épine-vinette du Japon,Berberis thunbergii,Établie,Japanese barberry
Flore,Plantes terrestres,Érable de l’Amour,Acer ginnala,Établie,Amur maple
Flore,Plantes terrestres,Érable de Norvège,Acer platanoides,Établie,Norway maple
Flore,Plantes terrestres,Gaillet mollugine,Galium mollugo,Établie,Smooth bedstraw
Flore,Plantes terrestres,Grans pétasite,Petasites hybridus,Établie,Purple butterbur
Flore,Plantes terrestres,Impatiente glanduleuse,Impatiens glandulifera,Établie,Himalayan balsam
Flore,Plantes terrestres,Julienne des dames,Hesperis matronalis,Établie,Dame's rocket
Flore,Plantes terrestres,Kudzu,Pueraria montana,Absente,Kudzu
Flore,Plantes terrestres,Lamier jaune,Lamium galeobdolon,Établie,Yellow archangel
Flore,Plantes terrestres,Lupin polyphylle,Lupinus polyphyllus,Établie,Large-leaved lupine
Flore,Plantes terrestres,Microstégie en osier,Microstegium vimineum,Absente,Japanese stiltgrass
Flore,Plantes terrestres,Miscanthus commun,Miscanthus sacchariflorus,Établie,Amur silvergrass
Flore,Plantes terrestres,Miscanthus de Chine,Miscanthus sinensis,Établie,Chinese silvergrass
Flore,Plantes terrestres,Nerprun bourdaine,Frangula alnus,Établie,Glossy buckthorn
Flore,Plantes terrestres,Nerprun cathartique,Rhamnus cathartica,Établie,European buckthorn
Flore,Plantes terrestres,Oléastre à ombelles,Elaeagnus umbellata,Absente,Autumn olive
Flore,Plantes terrestres,Orme de Sibérie,Ulmus pumila,Établie,Siberian elm
Flore,Plantes terrestres,Pétasite du Japon,Petasites japonicus,Établie,Japanese sweet coltsfoot
Flore,Plantes terrestres,Petite pervenche,Vinca minor,Établie,Lesser periwinkle
Flore,Plantes terrestres,Renoncule ficaire,Ficaria verna,Établie,Lesser celandine
Flore,Plantes terrestres,Renouée de Bohème,Reynoutria ×bohemica,Établie,Bohemian knotweed
Flore,Plantes terrestres,Renouée de Sakhaline,Reynoutria sachalinensis,Établie,Giant knotweed
Flore,Plantes terrestres,Renouée du Japon,Reynoutria japonica,Établie,Japanese knotweed
Flore,Plantes terrestres,Robinier faux-acacia,Robinia pseudoacacia,Établie,Black locust
Flore,Plantes terrestres,Rosier multiflore,Rosa multiflora,Établie,Multiflora rose
Flore,Plantes terrestres,Rosier rugueux,Rosa rugosa,Établie,Rugosa rose
Flore,Plantes terrestres,Topinambour,Helianthus tuberosus,Établie,Jerusalem artichoke
Flore,Plantes terrestres,Valériane officinale,Valeriana officinalis,Établie,Common valerian
Flore,Plantes terrestres,Vigne vierge à cinq folioles,Parthenocissus quinquefolia,Établie,Virginia creeper
